품목분류(HS),HSK품목명,HSK영문명,통제번호
4704110000,침엽수류로 만든 것,Coniferous,
305430000,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)],"Trout(Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",
302896000,돔[스파리대(Sparidae)과는 제외한다],Seabream(other than Sparidae),
8707100000,제8703호의 차량용,For the vehicles of heading 87.03,
8523292010,컴퓨터 소프트웨어를 수록한 것,Containing computer software,
712902096,"취(참취, 개미취, 곰취, 미역취)","Aster [Aster scaber Thunb., Aster tataricus L. f., Ligularia fischeri (Ledeb.) Turcz., Solidago virgaurea subsp. asiatica Kitam. ex Hara var. asiatica]",
4408109950,낙엽송,Larch,
0508002060,아고야(Agoya) 패각,Agoya shells,
5603940000,1제곱미터당 중량이 150그램을 초과하는 것,Weighing more than 150 g/㎡,
106410000,벌,Bees,
3202109000,기타,Other,
0208600000,낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것,Of camels and other camelids (Camelidae),
305620000,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)],"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",
5112200000,기타(주로 인조필라멘트와 혼방한 것으로 한정한다),"Other, mixed mainly or solely with man-made filaments",
2805302000,테르븀족,Terbium group,
2933550000,로프라졸람(INN)ㆍ메크로콰론(INN)ㆍ메타콰론(INN)ㆍ지페프롤(INN)과 이들의 염,"Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",
4403265000,편백나무,Hinoki cypress (Chamaecyparis obtusa),
2005999000,기타,Other,
4407193000,전나무류[아비에스(Abies)속을 제외한다],"White wood or fir, excluding Abies spp.",
